TIME1,seq,totaltrips,avgdistance,avgfare,avgtriptime,weekday
2016-01-03T14:00:00Z,63,55,2.30472727272727,11.6447272727273,554.181818181818,Sunday
2016-01-03T15:00:00Z,64,53,2.43150943396226,12.761320754717,706.415094339623,Sunday
2016-01-03T16:00:00Z,65,66,2.28939393939394,12.2165151515152,615.454545454546,Sunday
2016-01-03T17:00:00Z,66,46,2.11978260869565,10.579347826087,563.478260869565,Sunday
2016-01-03T18:00:00Z,67,37,3.14027027027027,14.2540540540541,614.594594594595,Sunday
2016-01-03T19:00:00Z,68,48,5.97291666666667,14.55,567.5,Sunday
2016-01-03T20:00:00Z,69,50,8.477,13.2646,651.6,Sunday
2016-01-03T21:00:00Z,70,82,2.72073170731707,15.114756097561,743.414634146341,Sunday
2016-01-03T22:00:00Z,71,45,2.40933333333333,13.2722222222222,669.333333333333,Sunday
2016-01-03T23:00:00Z,72,45,4.13977777777778,17.2377777777778,856,Sunday
2016-01-04T00:00:00Z,73,25,2.716,16.4316,633.6,Monday
2016-01-04T01:00:00Z,74,14,1.92857142857143,15.1178571428571,728.571428571429,Monday
2016-01-04T02:00:00Z,75,10,2.18,12.785,528,Monday
2016-01-04T03:00:00Z,76,3,3.16666666666667,13.35,720,Monday
2016-01-04T04:00:00Z,77,3,6.4,16.1333333333333,580,Monday
2016-01-04T05:00:00Z,78,6,9.51666666666667,27.44,1020,Monday
2016-01-04T06:00:00Z,79,34,3.30205882352941,15.2011764705882,598.235294117647,Monday
2016-01-04T07:00:00Z,80,97,1.10783505154639,8.04422680412371,410.721649484536,Monday
2016-01-04T08:00:00Z,81,201,1.02855721393035,7.95089552238806,489.850746268657,Monday
2016-01-04T09:00:00Z,82,230,1.04839130434783,8.59891304347826,565.826086956522,Monday
2016-01-04T10:00:00Z,83,143,1.23531468531469,9.02531468531468,536.643356643357,Monday
2016-01-04T11:00:00Z,84,97,1.64257731958763,10.7817525773196,600.618556701031,Monday
2016-01-04T12:00:00Z,85,91,1.85846153846154,10.6925274725275,533.406593406593,Monday
2016-01-04T13:00:00Z,86,79,1.70759493670886,10.0518987341772,492.911392405063,Monday
2016-01-04T14:00:00Z,87,60,1.50116666666667,12.7065,621,Monday
2016-01-04T15:00:00Z,88,66,1.54106060606061,11.9704545454545,551.818181818182,Monday
2016-01-04T16:00:00Z,89,92,1.96119565217391,11.869347826087,641.086956521739,Monday
2016-01-04T17:00:00Z,90,93,2.42989247311828,12.658064516129,934.193548387097,Monday
2016-01-04T18:00:00Z,91,96,2.59072916666667,14.0385416666667,828.75,Monday
2016-01-04T19:00:00Z,92,71,2.05380281690141,12.3,613.521126760563,Monday
2016-01-04T20:00:00Z,93,68,2.02352941176471,11.5607352941176,532.941176470588,Monday
2016-01-04T21:00:00Z,94,45,2.54044444444444,12.5153333333333,561.333333333333,Monday
2016-01-04T22:00:00Z,95,25,2.5616,16.0004,708,Monday
2016-01-04T23:00:00Z,96,26,1.58692307692308,9.64615384615385,447.692307692308,Monday
2016-01-05T00:00:00Z,97,18,3.46666666666667,15.0694444444444,760,Tuesday
2016-01-05T01:00:00Z,98,5,0.7,9.9,360,Tuesday
2016-01-05T02:00:00Z,99,4,1.6,11.85,420,Tuesday
2016-01-05T03:00:00Z,100,5,2.56,11.53,504,Tuesday
2016-01-05T04:00:00Z,101,10,1.78,10.35,486,Tuesday
2016-01-05T05:00:00Z,102,5,0.18,13.73,612,Tuesday
2016-01-05T06:00:00Z,103,27,1.18666666666667,11.3925925925926,442.222222222222,Tuesday
2016-01-05T07:00:00Z,104,97,1.07494845360825,7.34268041237113,369.278350515464,Tuesday
2016-01-05T08:00:00Z,105,207,1.05589371980676,8.19458937198068,467.246376811594,Tuesday
2016-01-05T09:00:00Z,106,260,1.15276923076923,8.93661538461539,562.153846153846,Tuesday
2016-01-05T10:00:00Z,107,164,1.21146341463415,9.47079268292683,537.804878048781,Tuesday
2016-01-05T11:00:00Z,108,115,1.82226086956522,10.62,526.95652173913,Tuesday
2016-01-05T12:00:00Z,109,101,1.92178217821782,11.5752475247525,557.227722772277,Tuesday
2016-01-05T13:00:00Z,110,69,1.42913043478261,9.52521739130435,533.913043478261,Tuesday
2016-01-05T14:00:00Z,111,73,1.67849315068493,10.4301369863014,685.479452054795,Tuesday
2016-01-05T15:00:00Z,112,91,2.23098901098901,11.0972527472527,576.923076923077,Tuesday
2016-01-05T16:00:00Z,113,81,4.51975308641975,12.9843209876543,746.666666666667,Tuesday
2016-01-05T17:00:00Z,114,114,1.72543859649123,10.620701754386,605.789473684211,Tuesday
2016-01-05T18:00:00Z,115,134,1.54305970149254,10.7842537313433,692.686567164179,Tuesday
2016-01-05T19:00:00Z,116,88,1.47409090909091,10.4244318181818,646.363636363636,Tuesday
2016-01-05T20:00:00Z,117,84,2.60833333333333,12.6679761904762,613.571428571429,Tuesday
2016-01-05T21:00:00Z,118,89,2.61011235955056,14.0798876404494,666.741573033708,Tuesday
2016-01-05T22:00:00Z,119,122,2.10040983606557,13.8850819672131,684.590163934426,Tuesday
2016-01-05T23:00:00Z,120,31,1.64516129032258,9.95774193548387,454.838709677419,Tuesday
2016-01-06T00:00:00Z,121,16,1.205625,11.928125,431.25,Wednesday
2016-01-06T01:00:00Z,122,9,3.04888888888889,12.25,566.666666666667,Wednesday
2016-01-06T02:00:00Z,123,5,0.7,11.4,396,Wednesday
2016-01-06T03:00:00Z,124,1,2.6,10.5,480,Wednesday
2016-01-06T04:00:00Z,125,2,17.35,42.375,1200,Wednesday
2016-01-06T05:00:00Z,126,5,6.714,20.274,804,Wednesday
2016-01-06T06:00:00Z,127,33,1.43090909090909,8.22151515151515,374.545454545455,Wednesday
2016-01-06T07:00:00Z,128,90,1.18544444444444,7.74633333333333,396.666666666667,Wednesday
2016-01-06T08:00:00Z,129,191,1.00450261780105,8.18821989528796,483.141361256545,Wednesday
